GASTOS DE REPRESENTACION,COSTO,VARIABLE,SI,VENTAS
PLANILLA,GASTO,VARIABLE,SI,RRHH
SCTR,COSTO,FIJO,SI,RRHH
EMOS,COSTO,FIJO,SI,RRHH
ANTIGENO,COSTO,FIJO,NO,RRHH
SEGURO VIDA,COSTO,FIJO,SI,RRHH
CELEBRACIONES,GASTO,VARIABLE,NO,RRHH
TEFACTURO,COSTO,FIJO,SI,CONTABILIDAD
CELULAR,GASTO,FIJO,SI,TESORERIA
PEAJES,COSTO,VARIABLE,NO,VENTAS
COMBUSTIBLE,COSTO,VARIABLE,SI,VENTAS
CELULARES,COSTO,FIJO,SI,VENTAS
TRASLADO DE EQUIPOS,COSTO,FIJO,SI,OPERACIONES
VIVERES,GASTO,VARIABLE,SI,OPERACIONES
AGUA,COSTO,VARIABLE,SI,OPERACIONES
MENUS,COSTO,VARIABLE,SI,OPERACIONES
REPUESTOS,COSTO,VARIABLE,SI,OPERACIONES
EQUIPOS,COSTO,VARIABLE,SI,OPERACIONES
ALOJAMIENTO,GASTO,VARIABLE,SI,OPERACIONES
HERRAMIENTAS,COSTO,VARIABLE,SI,OPERACIONES
EPP,COSTO,VARIABLE,SI,OPERACIONES
CELULARES,GASTO,FIJO,SI,OPERACIONES
INSUMOS,COSTO,VARIABLE,SI,OPERACIONES
PASAJES DE BUS,GASTO,VARIABLE,SI,OPERACIONES
COMBUSTIBLE,COSTO,VARIABLE,SI,OPERACIONES
MEDICINA,GASTO,VARIABLE,NO,OPERACIONES
AWS,GASTO,FIJO,SI,I+D
GOOGLE,GASTO,FIJO,SI,I+D
SISTEMA,GASTO,VARIABLE,SI,I+D
HOMOLOGACION,GASTO,VARIABLE,NO,I+D
MARKETING,GASTO,VARIABLE,SI,I+D
PUBLICIDAD,GASTO,VARIABLE,SI,I+D
SERVICIO DE LUZ,COSTO,VARIABLE,SI,LOCAL
SERVICIO DE AGUA,COSTO,VARIABLE,SI,LOCAL
PROSEGUR,GASTO,FIJO,SI,LOCAL
ALQUILER,GASTO,FIJO,SI,LOCAL
INTERNET,GASTO,FIJO,SI,LOCAL
UTILES,GASTO,VARIABLE,SI,LOCAL
MANTENIMIENTO,GASTO,VARIABLE,SI,LOCAL
COMPUTO,GASTO,VARIABLE,SI,OPERACIONES
GAS,GASTO,VARIABLE,SI,LOCAL
MOBILIARIO,GASTO,VARIABLE,SI,LOCAL
AGUA,GASTO,VARIABLE,NO,LOCAL
ENCOMIENDA,GASTO,VARIABLE,NO,LOCAL
COCINA,GASTO,VARIABLE,SI,LOCAL
MEDICINA,GASTO,VARIABLE,SI,LOCAL
GASTOS NOTARIALES,GASTO,VARIABLE,SI,LOCAL
ORDEN DE COMPRA,COSTO,VARIABLE,SI,ADQUISICIONES
FLETE,COSTO,VARIABLE,SI,ADQUISICIONES
FLETE,COSTO,VARIABLE,SI,DESPACHO
CELULAR,GASTO,FIJO,SI,DESPACHO
ACCESORIOS,GASTO,VARIABLE,NO,VEHICULO
COMBUSTIBLE,GASTO,VARIABLE,SI,VEHICULO
SOAT,GASTO,FIJO,SI,VEHICULO
REVISION TECNICA VEHICULAR,GASTO,FIJO,SI,VEHICULO
LAVADO,GASTO,VARIABLE,NO,VEHICULO
MANTENIMIENTO,GASTO,VARIABLE,SI,VEHICULO
PARQUEO,GASTO,VARIABLE,NO,VEHICULO
GASTOS SIN COMPROBANTES,GASTO,VARIABLE,NO,GASTOS SIN COMPROBANTES
OC,COSTO,VARIABLE,SI,ADQUISICIONES
COMPUTO,GASTO,VARIABLE,SI,I+D
GG,GASTO,VARIABLE,SI,GG
GASTOS SIN COMPROBANTE,GASTO,VARIABLE,SI,GASTOS SIN COMPROBANTE
GASTOS REPRESENTACION,COSTO,VARIABLE,SI,VENTA
COMPUTO,GASTO,VARIABLE,SI,LOCAL
PEAJES,COSTO,VARIABLE,SI,VENTA
PASAJES BUS,GASTO,VARIABLE,SI,OPERACIONES
TRASLADO EQUIPOS,COSTO,FIJO,SI,OPERACIONES
RTV,GASTO,FIJO,SI,VEHICULO
MANTENIMIENTO,GASTO,VARIABLE,SI,OPERACIONES
PEAJES,COSTO,VARIABLE,SI,DESPACHO
ACCESORIOS,GASTO,VARIABLE,SI,LOCAL
COMBUSTIBLE,COSTO,VARIABLE,SI,VENTA
